,time,open,high,low,close,volume
795,2021-04-19 13:00:00,92.7721611801,93.3082504409,92.7625881576,93.1167899906,70742
794,2021-04-19 14:00:00,93.1167899906,93.1359360356,92.7530151351,92.8200262927,53207
793,2021-04-19 15:00:00,92.8295993152,92.8774644278,92.65728491,92.65728491,93189
792,2021-04-19 16:00:00,92.6189928199,92.8487453602,92.3892402796,92.7051500225,282160
791,2021-04-19 17:00:00,92.714723045,92.714723045,92.714723045,92.714723045,212331
790,2021-04-20 10:00:00,92.8870374503,93.8634857467,92.7242960675,93.7869015666,60901
789,2021-04-20 11:00:00,93.9113508592,94.8399340431,93.758182499,94.782495908,140022
788,2021-04-20 12:00:00,94.7870909588,95.5962028217,94.6867656829,94.9543316621,175548
787,2021-04-20 13:00:00,94.9356642682,95.1654168085,94.8830126444,95.1319112297,95132
786,2021-04-20 14:00:00,95.1271247185,95.1462707635,94.8495070656,94.9260912457,97673
785,2021-04-20 15:00:00,94.9130719351,95.2037088986,94.8686531106,95.1271247185,140908
784,2021-04-20 16:00:00,95.1271247185,95.2898661012,94.9069452007,94.9165182232,446840
783,2021-04-20 17:00:00,94.9165182232,94.9165182232,94.9165182232,94.9165182232,31248
782,2021-04-21 10:00:00,94.9548103132,95.5962028217,94.0645192195,94.5000917438,115448
781,2021-04-21 11:00:00,94.3995750074,94.5335973226,93.423126711,93.5380029812,116953
780,2021-04-21 12:00:00,93.5954411163,94.1315303771,93.423126711,93.6241601838,93650
779,2021-04-21 13:00:00,93.6241601838,93.6337332063,93.2412392833,93.6241601838,85169
778,2021-04-21 14:00:00,93.6528792514,93.8443397016,93.5954411163,93.6433062289,84951
777,2021-04-21 15:00:00,93.6433062289,93.7342499427,93.3369695084,93.403980666,102135
776,2021-04-21 16:00:00,93.4135536885,93.6337332063,93.0593518555,93.1263630131,326972
775,2021-04-21 17:00:00,93.1263630131,93.6500073446,93.1263630131,93.1263630131,69415
774,2021-04-22 10:00:00,92.8678914053,93.1359360356,92.2073528518,92.8966104728,89608
773,2021-04-22 11:00:00,92.9444755854,93.403980666,92.8008802477,93.1024304568,98904
772,2021-04-22 12:00:00,93.0784979006,93.3561155535,92.9253295403,92.9852566613,77345
771,2021-04-22 13:00:00,92.9636216304,93.1024304568,92.8870374503,92.9779811642,68120
770,2021-04-22 14:00:00,92.9636216304,93.2699583508,92.7721611801,93.2244864939,102424
769,2021-04-22 15:00:00,93.2316662608,93.3944076435,92.9827676754,93.1263630131,93867
768,2021-04-22 16:00:00,93.1024304568,93.1263630131,92.8583183827,93.011486743,209895
767,2021-04-22 17:00:00,93.011486743,93.011486743,93.011486743,93.011486743,35343
766,2021-04-23 10:00:00,93.1933741707,93.423126711,92.4275323696,92.9540486079,56088
765,2021-04-23 11:00:00,93.030632788,93.4614188011,92.6907904888,93.3752615985,57617
764,2021-04-23 12:00:00,93.365688576,93.365688576,93.011486743,93.1359360356,67277
763,2021-04-23 13:00:00,93.1263630131,93.3082504409,92.9636216304,92.9923406979,53224
762,2021-04-23 14:00:00,92.9731946529,93.0593518555,92.8391723377,92.9444755854,86989
761,2021-04-23 15:00:00,92.9923406979,92.9923406979,92.6094197974,92.65728491,63080
760,2021-04-23 16:00:00,92.6860039775,93.0019137204,92.6189928199,92.65728491,160737
759,2021-04-23 17:00:00,92.65728491,92.65728491,92.65728491,92.65728491,62079
758,2021-04-23 20:00:00,92.4753974822,92.4753974822,92.4753974822,92.4753974822,139
757,2021-04-26 10:00:00,92.5615546848,92.5854872411,91.5851063884,91.9105891539,80099
756,2021-04-26 11:00:00,91.8435779963,92.0733305366,91.6904096361,91.9669742565,52820
755,2021-04-26 12:00:00,91.9393082214,91.9488812439,91.4558705845,91.81964544,55463
754,2021-04-26 13:00:00,91.8148589287,91.9967463565,91.6951961473,91.7478477712,49991
753,2021-04-26 14:00:00,91.7478477712,91.8866565976,91.671263591,91.7382747486,59317
752,2021-04-26 15:00:00,91.7287017261,91.9393082214,91.613825456,91.8627240413,56220
751,2021-04-26 16:00:00,91.838791485,91.9010161314,91.5372412759,91.7191287036,209185
750,2021-04-26 17:00:00,91.7095556811,91.7095556811,91.7095556811,91.7095556811,56580
749,2021-04-27 10:00:00,91.632971501,91.7478477712,91.0633766614,91.4558705845,68431
748,2021-04-27 11:00:00,91.4798031408,91.7717803274,91.4319380282,91.5851063884,44393
747,2021-04-27 12:00:00,91.5851063884,91.5851063884,91.317061758,91.4989491858,53503
746,2021-04-27 13:00:00,91.4989491858,91.7382747486,91.4223650057,91.6904096361,44920
745,2021-04-27 14:00:00,91.6853359341,91.9105891539,91.6303867849,91.6904096361,57554
