,time,open,high,low,close,volume
1820,2022-06-16 12:00:00,78.0967509644,78.6526703815,78.0173339048,78.2258036862,152171
1819,2022-06-16 13:00:00,78.265512216,78.2952936134,77.8485726532,77.9478439777,111920
1818,2022-06-16 14:00:00,77.9428804115,78.3945649378,77.8386455208,78.1166052293,171685
1817,2022-06-16 15:00:00,78.1066780969,78.460084012,77.8783540506,77.9279897128,239534
1816,2022-06-16 16:00:00,77.9379168453,78.5136905272,77.7691555937,78.2357308187,548297
1815,2022-06-16 17:00:00,78.2357308187,78.2357308187,78.1080956914,78.2357308187,123206
1814,2022-06-17 10:00:00,77.7890098586,78.9901928847,77.7890098586,78.6824517788,514090
1813,2022-06-17 11:00:00,78.6328161166,78.7817231033,76.5034462066,76.5679725675,198610
1812,2022-06-17 12:00:00,76.5778997,77.3919245607,76.5630090013,77.3125075011,270254
1811,2022-06-17 13:00:00,77.2926532362,77.3373253322,76.7962966138,77.0047663952,135046
1810,2022-06-17 14:00:00,77.0146935276,77.6103214745,76.9849121303,77.4117788255,134234
1809,2022-06-17 15:00:00,77.4614144878,77.9776253751,77.4117788255,77.6500300043,233586
1808,2022-06-17 16:00:00,77.7145563652,77.7741191599,77.1933819117,77.3919245607,525797
1807,2022-06-17 17:00:00,77.4117788255,77.4117788255,77.4062047407,77.4062047407,226675
1806,2022-06-21 10:00:00,77.4117788255,78.6030347192,77.1437462495,77.9776253751,149219
1805,2022-06-21 11:00:00,77.9478439777,78.3548564081,77.7393741963,78.3350021432,137660
1804,2022-06-21 12:00:00,78.3449292756,78.751941706,78.1960222889,78.419382769,108631
1803,2022-06-21 13:00:00,78.4342734676,78.7420145735,78.4342734676,78.7420145735,109451
1802,2022-06-21 14:00:00,78.7632586369,78.9862220317,78.7320874411,78.7767595371,99994
1801,2022-06-21 15:00:00,78.7817231033,79.4369138448,78.7320874411,79.397205315,135309
1800,2022-06-21 16:00:00,79.4170595799,79.4567681097,78.9008486927,78.93063009,296982
1799,2022-06-21 17:00:00,78.9802657523,78.9802657523,78.9802657523,78.9802657523,232402
1798,2022-06-22 08:00:00,78.3846378054,78.4739819974,78.374710673,78.4739819974,1400
1797,2022-06-22 10:00:00,78.6129618517,79.4964766395,78.6129618517,79.0795370767,68932
1796,2022-06-22 11:00:00,79.0497556794,79.7248006858,78.9107758251,79.7248006858,77224
1795,2022-06-22 12:00:00,79.7545820832,80.1715216459,79.4964766395,79.9531247321,94419
1794,2022-06-22 13:00:00,80.0027603943,80.3601371625,79.8935619374,80.2707929704,43438
1793,2022-06-22 14:00:00,80.2658294042,80.3402828976,80.0325417917,80.2807201029,41736
1792,2022-06-22 15:00:00,80.2807201029,80.4834321474,80.1963394771,80.4097728247,77502
1791,2022-06-22 16:00:00,80.4196999571,80.484226318,79.9531247321,79.972978997,234593
1790,2022-06-22 17:00:00,79.9928332619,79.9928332619,79.9928332619,79.9928332619,148053
1789,2022-06-23 08:00:00,80.260865838,80.260865838,80.260865838,80.260865838,300
1788,2022-06-23 10:00:00,79.7545820832,81.1245263609,79.7545820832,81.0351821689,69122
1787,2022-06-23 11:00:00,81.0500728676,81.2188341192,80.6976596657,81.1840891556,117499
1786,2022-06-23 12:00:00,81.1865709387,81.3627775396,80.6778054008,80.7472953279,115191
1785,2022-06-23 13:00:00,80.7472953279,81.4719759966,80.6976596657,81.392558937,74897
1784,2022-06-23 14:00:00,81.4024860694,81.5116845264,81.1245263609,81.4521217317,104271
1783,2022-06-23 15:00:00,81.3826318045,81.571247321,81.3627775396,81.4719759966,85857
1782,2022-06-23 16:00:00,81.4570852979,81.7797171024,81.2635062152,81.5116845264,328538
1781,2022-06-23 17:00:00,81.5017573939,81.5017573939,81.5017573939,81.5017573939,37209
1780,2022-06-24 10:00:00,81.7598628375,82.0924217745,81.2635062152,82.027399057,78423
1779,2022-06-24 11:00:00,82.0378225461,82.4448349764,81.6407372482,81.9931504501,95712
1778,2022-06-24 12:00:00,82.0179682812,82.5490698671,81.9484783541,82.3157822546,73200
1777,2022-06-24 13:00:00,82.3257093871,82.7823574796,82.3058551222,82.4547621089,67645
1776,2022-06-24 14:00:00,82.4547621089,82.8319931419,82.3968869267,82.6036690956,68123
1775,2022-06-24 15:00:00,82.6334504929,82.8717016717,82.6334504929,82.8617745392,80153
1774,2022-06-24 16:00:00,82.8617745392,83.0106815259,82.5838148307,82.7823574796,355299
1773,2022-06-24 17:00:00,82.7426489498,82.7426489498,82.7426489498,82.7426489498,54423
1772,2022-06-27 10:00:00,82.3852721817,82.8717016717,82.0477496785,82.524252036,164764
1771,2022-06-27 11:00:00,82.4944706387,83.1049892842,82.4746163738,82.8816288041,138454
1770,2022-06-27 12:00:00,82.8915559366,83.3382768967,82.722794685,83.2886412345,99052
1769,2022-06-27 13:00:00,83.290626661,83.4375482212,83.1695156451,83.368058294,85486
1768,2022-06-27 14:00:00,83.3581311616,83.368058294,82.9511187312,83.1397342477,68529
1767,2022-06-27 15:00:00,83.1298071153,83.3482040291,83.0305357908,83.2489327047,89144
1766,2022-06-27 16:00:00,83.2489327047,83.4971110159,83.0701450493,83.4871838834,253667
1765,2022-06-27 17:00:00,83.477256751,83.477256751,83.477256751,83.477256751,41824
1764,2022-06-28 10:00:00,83.8445606515,84.3409172739,83.4971110159,84.1920102872,96801
1763,2022-06-28 11:00:00,84.1920102872,84.7777111016,84.1225203601,84.7380025718,142775
1762,2022-06-28 12:00:00,84.7280754393,84.7280754393,84.1076296614,84.1225203601,167707
1761,2022-06-28 13:00:00,84.0927389627,84.2615002143,83.7750707244,83.7949249893,301226
1760,2022-06-28 14:00:00,83.8147792542,83.8247063866,83.3978396914,83.655945135,191723
1759,2022-06-28 15:00:00,83.6658722675,83.7155079297,82.9411915988,83.0900985855,225717
1758,2022-06-28 16:00:00,83.0851350193,83.3482040291,82.7426489498,82.8319931419,711283
1757,2022-06-28 17:00:00,82.812138877,82.812138877,82.812138877,82.812138877,43345
1756,2022-06-29 09:00:00,82.812138877,82.812138877,82.812138877,82.812138877,1097
1755,2022-06-29 10:00:00,83.1099528504,83.3581311616,82.7029404201,83.1298071153,60834
1754,2022-06-29 11:00:00,83.1198799829,83.3978396914,82.7525760823,82.9809001286,184304
1753,2022-06-29 12:00:00,82.9709729961,83.2092241749,82.5838148307,82.812138877,150262
1752,2022-06-29 13:00:00,82.7823574796,83.2390055722,82.7327218174,83.100025718,172377
1751,2022-06-29 14:00:00,83.0801714531,83.0851350193,82.7327218174,83.0702443206,124974
1750,2022-06-29 15:00:00,83.0801714531,83.2489327047,82.8022117445,82.9163737677,179925
1749,2022-06-29 16:00:00,82.9163737677,83.0900985855,82.7327218174,82.8816288041,457534
1748,2022-06-29 17:00:00,82.8717016717,82.8717016717,82.8717016717,82.8717016717,26556
1747,2022-06-29 19:00:00,82.8717016717,82.8717016717,82.8717016717,82.8717016717,3592
1746,2022-06-30 09:00:00,82.9411915988,82.9411915988,82.9411915988,82.9411915988,1000
1745,2022-06-30 10:00:00,82.4051264466,83.655945135,82.2264380626,83.2290784398,91243
1744,2022-06-30 11:00:00,83.2092241749,83.9909858551,83.0702443206,83.7055807973,115000
1743,2022-06-30 12:00:00,83.745289327,83.8048521217,83.278714102,83.477256751,101070
1742,2022-06-30 13:00:00,83.5169652808,83.988504072,83.4375482212,83.9736133733,113531
1741,2022-06-30 14:00:00,84.033176168,84.3409172739,83.8247063866,84.2714273468,88622
1740,2022-06-30 15:00:00,84.2714273468,84.3309901414,83.8048521217,83.9636862409,140154
1739,2022-06-30 16:00:00,83.9835405058,84.0828118303,83.5070381483,83.8842691813,502259
1738,2022-06-30 17:00:00,83.854487784,83.854487784,83.854487784,83.854487784,105877
3563,2022-07-01 10:00:00,84.410407201,85.274067724,84.1125932276,84.787638234,122482
3562,2022-07-01 11:00:00,84.8670552936,85.6408752679,84.3905529361,85.5321731676,234047
3561,2022-07-01 12:00:00,85.5321731676,86.1079468495,85.4726103729,85.6413716245,194359
3560,2022-07-01 13:00:00,85.6463351907,85.8319725675,85.3534847835,85.5123189027,113885
3559,2022-07-01 14:00:00,85.5321731676,86.0880925847,85.4428289756,86.02852979,122205
3558,2022-07-01 15:00:00,86.0384569224,86.3759794256,85.8101328761,86.1675096442,195798
3557,2022-07-01 16:00:00,86.1873639091,86.8425546507,86.0980197171,86.5248864123,452160
3556,2022-07-01 17:00:00,86.5149592799,86.5149592799,86.5149592799,86.5149592799,83965
3555,2022-07-05 08:00:00,87.6764337763,88.3514787827,86.5645949421,86.5645949421,785
3554,2022-07-05 10:00:00,86.2568538363,86.3313073296,84.4401885984,84.721225718,200083
3553,2022-07-05 11:00:00,84.6486583798,84.7380025718,82.390235748,82.4895070724,153258
3552,2022-07-05 12:00:00,82.4398714102,82.613596228,82.0775310759,82.5738876982,130181
3551,2022-07-05 13:00:00,82.5738876982,82.7873210459,81.8194256322,82.0278954136,125300
3550,2022-07-05 14:00:00,82.0378225461,82.1271667381,81.2932876125,81.8293527647,118932
3549,2022-07-05 15:00:00,81.8392798971,82.434907844,81.8194256322,82.4051264466,111941
3548,2022-07-05 16:00:00,82.3951993142,82.9610458637,82.3753450493,82.812138877,391174
3547,2022-07-05 17:00:00,82.7625032147,82.7625032147,82.7625032147,82.7625032147,42984
3546,2022-07-05 18:00:00,82.7625032147,82.7625032147,82.7625032147,82.7625032147,953
3545,2022-07-06 10:00:00,83.1695156451,83.9140505787,82.8915559366,82.8915559366,68698
3544,2022-07-06 11:00:00,82.8915559366,83.18936991,82.4944706387,82.6930132876,131651
3543,2022-07-06 12:00:00,82.6930132876,83.1397342477,82.4448349764,83.0900985855,100284
3542,2022-07-06 13:00:00,83.1298071153,83.278714102,82.8419202743,83.2390055722,89169
3541,2022-07-06 14:00:00,83.1992970424,83.5467466781,83.1992970424,83.477256751,76627
3540,2022-07-06 15:00:00,83.477256751,84.3409172739,83.3482040291,83.7552164595,154576
3539,2022-07-06 16:00:00,83.7502528933,83.9339048435,83.4276210887,83.5467466781,360360
3538,2022-07-06 17:00:00,83.5368195456,83.5368195456,83.5368195456,83.5368195456,136601
3537,2022-07-07 10:00:00,83.6162366052,84.1413819117,83.323386198,83.7651435919,164423
3536,2022-07-07 11:00:00,83.745289327,83.8941963138,83.1099528504,83.6460180026,286527
3535,2022-07-07 12:00:00,83.6261637377,83.854487784,83.6063094728,83.6857265324,190551
3534,2022-07-07 13:00:00,83.6757993999,83.6956536648,83.2985683669,83.3581311616,218612
3533,2022-07-07 14:00:00,83.3084954994,83.3084954994,83.0548572653,83.1595885126,109571
3532,2022-07-07 15:00:00,83.1397342477,83.278714102,83.0454264895,83.144697814,91073
3531,2022-07-07 16:00:00,83.144697814,83.5020745821,82.9610458637,82.990827261,362573
3530,2022-07-07 17:00:00,82.9809001286,82.9809001286,82.9809001286,82.9809001286,36465
3529,2022-07-08 09:00:00,83.5368195456,83.5368195456,83.5368195456,83.5368195456,269
3528,2022-07-08 10:00:00,83.2687869696,83.7552164595,82.856810973,83.3333133305,269635
3527,2022-07-08 11:00:00,83.3581311616,83.4276210887,82.8022117445,82.990827261,167487
3526,2022-07-08 12:00:00,82.9809001286,83.1397342477,82.6731590227,82.9411915988,163844
3525,2022-07-08 13:00:00,82.9610458637,83.0900985855,82.6235233605,82.6235233605,140798
3524,2022-07-08 14:00:00,82.6533047578,82.8518474068,82.5838148307,82.6632318903,150068
3523,2022-07-08 15:00:00,82.6533047578,83.0702443206,82.6533047578,83.0503900557,147063
3522,2022-07-08 16:00:00,83.0702443206,83.1173981997,82.6235233605,82.7029404201,438177
3521,2022-07-08 17:00:00,82.7128675525,82.7128675525,82.7128675525,82.7128675525,56840
3520,2022-07-11 10:00:00,82.5441063009,83.6162366052,82.4944706387,83.3283497643,206061
3519,2022-07-11 11:00:00,83.2191513073,83.2191513073,81.9584054865,82.1768024003,157537
3518,2022-07-11 12:00:00,82.1966566652,82.6235233605,82.1370938706,82.3157822546,128958
3517,2022-07-11 13:00:00,82.3257093871,82.6930132876,82.2760737248,82.6433776254,138026
3516,2022-07-11 14:00:00,82.6533047578,83.0801714531,82.6533047578,82.9918199743,113360
3515,2022-07-11 15:00:00,83.0106815259,83.0206086584,82.7029404201,82.8468838405,180054
3514,2022-07-11 16:00:00,82.8468838405,83.1099528504,82.6930132876,83.100025718,403159
3513,2022-07-11 17:00:00,83.1099528504,83.1099528504,83.1099528504,83.1099528504,24398
3512,2022-07-12 10:00:00,82.7625032147,83.7457856837,82.4646892413,83.7105443635,70418
